Harry Potter and the Deathly Hallows: Part II ;-51.7979213565932;-3.013269346830879
Night at the Museum: Secret of the Tomb ;-90.31452741737893;-4.57879707558174
Megamind ;-81.20631139578309;-4.622502181360205
Harry Potter and the Sorcerer's Stone ;-87.46077859037544;-3.1212567933276123
R.I.P.D. ;-76.41209841685003;-4.7425810621807765
Godzilla Resurgence ;-95.29269755339793;-0.5122790969062524
Pirates of the Caribbean: The Curse of the Black Pearl ;-83.37167666526926;-4.656492177549199
Harry Potter and the Deathly Hallows: Part I ;-49.07416209894819;-2.9399872970000036
The Hunger Games: Mockingjay - Part 1 ;-83.3789198976145;-4.706548372059696
The Da Vinci Code ;-84.95296819567348;-4.629404771220317
Rio 2 ;-100.0437077134622;-4.433427397250858
X-Men 2 ;-86.63718310335203;-3.4409318006670038
Fast Five ;-74.92213714920972;-4.744499320179026
Sherlock Holmes: A Game of Shadows ;-86.66611745786919;-4.82935666209524
Clash of the Titans ;-83.48395973412941;-4.6673631860171065
Total Recall ;-85.70309734967277;-4.8046437030443965
The 13th Warrior ;-83.5654040531578;-4.857195824812246
The Bourne Legacy ;-81.09189100766078;-4.747218072136129
Batman & Robin ;-83.38629600349618;-4.5346153688817665
How the Grinch Stole Christmas ;-85.86225840853827;-4.504480999821782
The Day After Tomorrow ;-88.18044529742586;-4.781356130422739
Mission: Impossible II ;-76.74431590191111;-4.739932126195959
The Perfect Storm ;-81.85320947461271;-4.939128718438376
Fantastic 4: Rise of the Silver Surfer ;-90.4591854810921;-4.572578708196455
